hek293	hela	k562
ENSG00000176244	2.13112599277591	NA	2.10763326684239
ENSG00000102977	2.22796622469307	NA	NA
ENSG00000159640	2.14659129338979	NA	NA
ENSG00000100813	2.18847781704382	2.68124123737559	NA
ENSG00000131473	2.36886026121707	3.03342375548695	NA
ENSG00000122729	2.31820053409211	3.15836249209525	NA
ENSG00000100412	2.26758838996064	2.68124123737559	2.20669852002502
ENSG00000184227	1.61964873418943	NA	NA
ENSG00000119673	1.64268862161874	2.76537048029165	NA
ENSG00000101473	1.92897907464794	NA	NA
ENSG00000123130	2.07953291919477	2.81277970700896	NA
ENSG00000161533	1.84108308764031	2.79434860389608	NA
ENSG00000143727	2.06110372556272	2.7976829349149	NA
ENSG00000134575	1.80333931417534	2.8342935124427	NA
ENSG00000103740	2.30771947545048	NA	NA
ENSG00000167107	2.31752986344579	2.27369558793009	NA
ENSG00000176715	2.17086902101361	2.36361197989214	NA
ENSG00000151726	2.37139391868763	2.77597433112937	NA
ENSG00000068366	2.21248778400349	2.71717102683231	NA
ENSG00000154930	2.26265533848032	NA	NA
ENSG00000131069	2.26027269028336	NA	NA
ENSG00000111058	2.29307117948176	NA	NA
ENSG00000075624	2.07809038359411	NA	NA
ENSG00000184009	2.0105697485665	2.86981820797933	NA
ENSG00000072110	2.31444018564997	2.75358305889291	NA
ENSG00000077522	1.26313411344841	NA	NA
ENSG00000131966	2.47436383137045	2.84484980080664	NA
ENSG00000138107	2.11932957930887	2.62076048999421	2.0551881576265
ENSG00000138071	2.63414099949932	3.13149034569495	2.20618348666937
ENSG00000133627	2.07146303125524	2.2464985807958	NA
ENSG00000101442	1.90059616349535	2.44932409309873	1.99332189849963
ENSG00000075089	2.18603172289777	2.25382243870807	NA
ENSG00000113812	1.84212527722451	2.28735377271475	NA
ENSG00000115170	1.54387552599357	2.228400358703	NA
ENSG00000135503	1.58696207201213	2.18639121569549	NA
ENSG00000121989	1.33163604875838	2.14550717140966	NA
ENSG00000243989	2.36198967499122	NA	NA
ENSG00000119640	2.13453442987374	NA	1.66447196027857
ENSG00000170634	1.63549945276768	2.28735377271475	NA
ENSG00000196839	2.14061949425501	2.43806745045349	2.15336988768734
ENSG00000168803	2.20125642093279	2.2405492482826	NA
ENSG00000137845	2.12790276956282	2.79643555881017	NA
ENSG00000073670	2.37798699800682	2.19312459835446	NA
ENSG00000151694	1.94742747223952	2.43616264704076	NA
ENSG00000168615	2.39497817717248	NA	NA
ENSG00000154734	0.835644622362631	2.14921911265538	NA
ENSG00000087116	2.54250576919273	NA	NA
ENSG00000105963	2.1467175596849	2.59571661994342	NA
ENSG00000184060	2.02360400110938	2.5641924606262	NA
ENSG00000065457	1.8798957759783	2.40036527334994	NA
ENSG00000189007	1.7531253325374	2.16016829295851	NA
ENSG00000063761	2.24193607926237	2.56913972547246	NA
ENSG00000123815	1.96880380431237	2.42553422049826	NA
ENSG00000173137	2.01933649406929	2.20466251174822	NA
ENSG00000164742	1.85213939634116	NA	NA
ENSG00000174233	2.30256490398878	2.30835094858673	NA
ENSG00000121281	1.92479902228018	2.35449260058944	NA
ENSG00000162104	1.69163016745363	2.39932753215868	NA
ENSG00000087274	2.3823825108488	2.74803289413014	NA
ENSG00000148700	2.36798682647144	2.55630250076729	NA
ENSG00000197894	2.2788397265264	2.82930377283102	NA
ENSG00000182551	2.26084334945151	3.07547396458895	1.75736920432467
ENSG00000159346	2.0033641988842	2.80468451490694	2.00722782184161
