EnsemblGeneID,GeneName,UniProtID,UniProtID_T,K,k,T50,ProteinHalfLife
ENSG00000137831,UACA,Q9BZF9,Q9BZF9;Q9BZF9-2,0.054803832,0.028521388,12.64778676,1.385654797
ENSG00000109111,SUPT6H,Q7KZ85,Q7KZ85;Q7KZ85-3,0.059519325,0.033603068,11.6457501,1.314446526
ENSG00000005100,DHX33,Q9H6R0,Q9H6R0;Q9H6R0-2,0.088924687,0.062382122,7.794766584,1.045765314
ENSG00000167283,ATP5L,O75964,O75964,0.060630685,0.03666923,11.43228346,1.276523675
ENSG00000167721,TSR1,Q2NL82,Q2NL82,0.048899898,0.024475359,14.17481861,1.45209639
ENSG00000159348,CYB5R1,Q9UHQ9,Q9UHQ9,0.0144,#NUM!,48.13522087,NA
ENSG00000183808,RBM12B,Q8IXT5,Q8IXT5,0.035101282,0.011754633,19.74706166,1.770616382
ENSG00000092929,UNC13D,Q70J99,Q70J99;Q70J99-3;Q70J99-2,0.069999357,0.044110137,9.902193518,1.196287053
ENSG00000103245,NARFL,Q9H6Q4,Q9H6Q4-3;Q9H6Q4;Q9H6Q4-2,0.039,0.01652,17.77300463,1.622815418
ENSG00000122958,VPS26A,O75436,O75436;O75436-2,0.032299381,0.00697,21.46007643,1.997592683
ENSG00000198399,ITSN2,Q9NZM3,Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3,0.039239521,0.01986,17.66451691,1.542846217
ENSG00000173402,DAG1,Q14118,Q14118,0.04474662,0.020346577,15.49049248,1.532334102
ENSG00000136295,TTYH3,Q9C0H2,Q9C0H2-3;Q9C0H2-2;Q9C0H2;Q9C0H2-4,0.017472264,#NUM!,39.67128651,NA
ENSG00000075643,MOCOS,Q96EN8,Q96EN8,0.037445961,0.011563356,18.5105993,1.777741568
ENSG00000048544,MRPS10,P82664,P82664,0.080113544,0.056242486,8.652059843,1.090760954
