FullTissue,Tissue,Sample.ID
Lung,Lung,GTEX.YEC4.0526
Colon - Sigmoid,Colon,GTEX.11DXX.1926
Pancreas,Pancreas,GTEX.1399U.0926
Adrenal Gland,Adrenal,GTEX.1211K.0126
Esophagus - Muscularis,Esophagus,GTEX.XV7Q.1026
Artery - Aorta,Artery,GTEX.1211K.0326
Thyroid,Thyroid,GTEX.1399U.0326
Heart - Atrial Appendage,Heart,GTEX.1122O.0626
Nerve - Tibial,Nerve - Tibial,GTEX.1211K.2326
Colon - Sigmoid,Colon,GTEX.1211K.1826
Vagina,Vagina,GTEX.XV7Q.1626
Brain - Cerebellum,Brain,GTEX.13OW8.2926
Artery - Aorta,Artery,GTEX.YEC4.2426
Thyroid,Thyroid,GTEX.YEC4.0626
Skin - Sun Exposed (Lower leg),Skin,GTEX.13FTW.2626
Vagina,Vagina,GTEX.13D11.1326
Skin - Not Sun Exposed (Suprapubic),Skin,GTEX.13D11.0926
Muscle - Skeletal,Muscle - Skeletal,GTEX.11DXX.2726
Esophagus - Mucosa,Esophagus,GTEX.13OW8.2326
Uterus,Uterus,GTEX.U3ZN.0726
Uterus,Uterus,GTEX.XUJ4.1526
Brain - Cortex,Brain,GTEX.13OW8.2826
Heart - Atrial Appendage,Heart,GTEX.12WSD.1226
Adrenal Gland,Adrenal,GTEX.XUJ4.0126
Spleen,Spleen,GTEX.XUJ4.0226
Breast - Mammary Tissue,Breast,GTEX.13D11.1026
Esophagus - Muscularis,Esophagus,GTEX.1399R.0726
Artery - Aorta,Artery,GTEX.11DXX.0426
Lung,Lung,GTEX.1211K.0826
Adrenal Gland,Adrenal,GTEX.XV7Q.0226
Ovary,Ovary,GTEX.XUJ4.1326
Pancreas,Pancreas,GTEX.13FTW.0526
Artery - Aorta,Artery,GTEX.XUJ4.0326
Skin - Not Sun Exposed (Suprapubic),Skin,GTEX.13FTW.0326
Esophagus - Gastroesophageal Junction,Esophagus,GTEX.XV7Q.1226
Spleen,Spleen,GTEX.11DXX.0726
Thyroid,Thyroid,GTEX.1211K.0726
Pancreas,Pancreas,GTEX.XV7Q.0926
Spleen,Spleen,GTEX.YEC4.0126
Skin - Sun Exposed (Lower leg),Skin,GTEX.13D11.2426
Heart - Left Ventricle,Heart,GTEX.U3ZN.1426
Artery - Aorta,Artery,GTEX.13D11.1426
Colon - Transverse,Colon,GTEX.U3ZN.2126
Esophagus - Mucosa,Esophagus,GTEX.12WSD.1826
Adrenal Gland,Adrenal,GTEX.12WSD.2126
Spleen,Spleen,GTEX.U3ZN.0126
Vagina,Vagina,GTEX.12WSD.2926
Esophagus - Muscularis,Esophagus,GTEX.11DXX.1026
Breast - Mammary Tissue,Breast,GTEX.XUJ4.1926
Heart - Atrial Appendage,Heart,GTEX.13D11.1526
Skin - Sun Exposed (Lower leg),Skin,GTEX.1211K.2026
