EnsemblGeneID,GeneName.x,BCells_ProHL,NKCells_ProHL,Hepatocytes_ProHL,Monocytes_ProHL
ENSG00000197043,ANXA6,2.449163557,2.858424399,2.484010688,2.562807169
ENSG00000197045,GMFB,2.215864828,NA,NA,1.740485064
ENSG00000197062,ZSCAN26,1.812659387,NA,NA,NA
ENSG00000197063,MAFG,1.66932618,NA,NA,1.571964909
ENSG00000197070,ARRDC1,1.537680602,1.941955935,1.579589264,1.575972562
ENSG00000197077,KIAA1671,NA,NA,1.341830057,NA
ENSG00000197081,IGF2R,1.482923582,1.809256613,1.417322197,1.336539781
ENSG00000197102,DYNC1H1,2.027402617,2.497781495,1.944741691,1.935517342
ENSG00000197106,SLC6A17,NA,NA,NA,NA
ENSG00000197111,PCBP2,1.772768976,2.295335048,1.819073195,1.739596076
ENSG00000197114,ZGPAT,1.525083697,1.739505099,NA,1.37821615
ENSG00000197119,SLC25A29,NA,NA,NA,NA
ENSG00000197121,PGAP1,NA,NA,NA,NA
ENSG00000197122,SRC,1.674291502,2.097826276,1.791009557,1.989307403
ENSG00000197136,PCNXL3,NA,NA,1.878084984,NA
ENSG00000197142,ACSL5,1.911855117,2.208048809,1.882871607,1.918855656
ENSG00000197147,LRRC8B,NA,NA,NA,NA
ENSG00000197150,ABCB8,1.875009145,NA,NA,2.197051632
ENSG00000197157,SND1,1.750068478,2.205163748,1.865172106,1.779892173
ENSG00000197170,PSMD12,2.010600974,NA,2.480468315,2.088430246
ENSG00000197183,NOL4L,NA,NA,NA,NA
ENSG00000197223,C1D,1.791894067,1.922683946,1.550362902,NA
ENSG00000197226,TBC1D9B,1.938379608,2.225372612,1.604906131,1.727236168
ENSG00000197265,GTF2E2,1.707953208,NA,1.385552654,1.499088829
ENSG00000197283,SYNGAP1,NA,NA,NA,NA
ENSG00000197296,FITM2,NA,NA,1.924346493,NA
ENSG00000197312,DDI2,2.078154011,2.288504092,NA,1.767697468
ENSG00000197321,SVIL,NA,NA,1.884987838,2.10761693
ENSG00000197323,TRIM33,1.637339602,1.77509321,1.497523976,1.533416142
ENSG00000197345,MRPL21,NA,2.03430753,1.849668125,1.975195065
ENSG00000197355,UAP1L1,1.930656178,NA,NA,1.693133125
ENSG00000197375,SLC22A5,NA,NA,1.759055625,NA
ENSG00000197386,HTT,1.711296739,NA,1.724538006,1.904950747
ENSG00000197405,C5AR1,NA,2.132571847,NA,1.512083758
ENSG00000197408,CYP2B6,NA,NA,1.860837906,NA
ENSG00000197442,MAP3K5,1.749794269,1.946852476,NA,1.877745576
ENSG00000197444,OGDHL,2.102344505,NA,1.893062334,2.122523872
ENSG00000197448,GSTK1,2.380630857,2.597289765,2.019294959,2.173646551
ENSG00000197451,HNRNPAB,2.000744177,2.661266399,1.718451863,2.107779607
ENSG00000197496,SLC2A10,NA,NA,1.43858981,NA
ENSG00000197498,RPF2,1.889629401,NA,1.650574624,1.643536566
ENSG00000197530,MIB2,NA,NA,NA,NA
ENSG00000197535,MYO5A,1.878593598,2.227971499,NA,1.660410084
ENSG00000197540,GZMM,NA,2.372747271,NA,NA
ENSG00000197548,ATG7,1.84066116,NA,NA,1.946317141
ENSG00000197555,SIPA1L1,1.601788472,NA,1.510558414,NA
ENSG00000197563,PIGN,NA,NA,NA,2.141722494
ENSG00000197586,ENTPD6,NA,NA,NA,NA
ENSG00000197594,ENPP1,NA,NA,2.185685196,NA
ENSG00000197601,FAR1,NA,NA,NA,1.316494539
ENSG00000197629,MPEG1,1.255947549,NA,NA,1.310395894
ENSG00000197632,SERPINB2,NA,NA,NA,2.736627533
ENSG00000197635,DPP4,NA,NA,1.61230693,NA
ENSG00000197702,PARVA,NA,NA,1.965624967,NA
ENSG00000197712,FAM114A1,NA,NA,2.037201324,NA
ENSG00000197713,RPE,2.01333027,NA,NA,2.026314632
ENSG00000197714,ZNF460,NA,1.300943128,NA,NA
ENSG00000197724,PHF2,1.923684309,1.908849459,NA,1.586362223
ENSG00000197728,RPS26,2.034740725,2.46116525,2.306121452,NA
ENSG00000197746,PSAP,1.654094683,2.396948687,1.394390385,1.267734772
ENSG00000197747,S100A10,NA,NA,1.81910613,1.901038537
ENSG00000197756,RPL37A,2.047362496,2.612815633,1.977430929,2.054555604
ENSG00000197763,TXNRD3,NA,NA,NA,NA
ENSG00000197771,MCMBP,1.511442161,NA,NA,1.467800425
ENSG00000197785,ATAD3A,2.102923983,NA,NA,NA
ENSG00000197818,SLC9A8,NA,NA,1.621228228,NA
ENSG00000197858,GPAA1,2.157616917,NA,NA,1.885683428
ENSG00000197860,SGTB,NA,NA,NA,1.565481819
ENSG00000197879,MYO1C,1.52815795,NA,1.629975037,1.621025603
ENSG00000197885,NKIRAS1,NA,NA,2.124213946,NA
ENSG00000197888,UGT2B17,NA,NA,3.290214528,NA
ENSG00000197892,KIF13B,1.703523513,2.156167386,1.787694208,1.911341412
ENSG00000197894,ADH5,2.381270352,2.641479068,NA,NA
ENSG00000197912,SPG7,NA,NA,1.772112579,1.949731452
ENSG00000197943,PLCG2,1.986610523,2.301688538,NA,1.940748014
ENSG00000197948,FCHSD1,2.12558698,NA,NA,1.862608364
ENSG00000197958,RPL12,2.015653099,2.811277332,1.982207894,2.065637592
ENSG00000197959,DNM3,NA,NA,NA,1.759947214
ENSG00000197965,MPZL1,NA,NA,1.146887387,NA
ENSG00000197969,VPS13A,1.849096798,2.31738631,1.881567239,NA
ENSG00000197976,AKAP17A,1.730099623,2.144155277,1.592704033,1.751906222
ENSG00000197977,ELOVL2,NA,NA,NA,NA
ENSG00000198001,IRAK4,2.135698615,2.401403126,NA,1.981773319
ENSG00000198015,MRPL42,NA,NA,1.728195459,NA
ENSG00000198018,ENTPD7,NA,NA,1.486232061,NA
ENSG00000198034,RPS4X,1.978223899,2.848666886,2.057597646,2.101343171
ENSG00000198042,MAK16,NA,NA,1.897541873,1.595430081
ENSG00000198053,SIRPA,1.69019608,2.440107415,1.378515998,1.442863723
ENSG00000198055,GRK6,2.293924674,2.533472727,NA,1.954498185
ENSG00000198056,PRIM1,1.340067166,NA,NA,NA
ENSG00000198060,Mar-05,1.847862503,NA,1.77586156,1.866812901
ENSG00000198074,AKR1B10,NA,NA,1.830611121,NA
ENSG00000198077,CYP2A7,NA,NA,1.088879956,NA
ENSG00000198081,ZBTB14,2.021098295,NA,NA,NA
ENSG00000198087,CD2AP,2.04906289,2.393354929,1.710895519,1.87334095
ENSG00000198113,TOR4A,1.954406545,2.313730164,NA,2.234142556
ENSG00000198130,HIBCH,2.577510182,NA,2.420935521,2.418917486
ENSG00000198142,SOWAHC,NA,NA,NA,NA
ENSG00000198157,HMGN5,NA,NA,1.676098905,NA
ENSG00000198160,MIER1,1.761657259,NA,NA,1.503586421
ENSG00000198162,MAN1A2,NA,NA,1.713028282,1.656826209
ENSG00000198168,SVIP,1.871841368,NA,NA,NA
ENSG00000198171,DDRGK1,2.192538183,2.103514665,1.668954042,1.693005456
ENSG00000198189,HSD17B11,2.188953782,2.405996546,1.805969562,2.061944175
ENSG00000198216,CACNA1E,NA,NA,NA,NA
ENSG00000198218,QRICH1,1.636578156,1.862241729,1.561852397,1.526313426
ENSG00000198223,CSF2RA,NA,NA,NA,1.334614571
ENSG00000198231,DDX42,1.759981179,2.050582741,1.461836047,1.660912887
ENSG00000198242,RPL23A,2.085583102,2.676610857,1.943358468,2.089350414
ENSG00000198246,SLC29A3,NA,NA,1.465613323,1.437980329
ENSG00000198258,UBL5,NA,1.384021697,1.684504253,NA
ENSG00000198265,HELZ,1.422786754,1.592953572,NA,1.598243192
ENSG00000198276,UCKL1,1.640312457,2.124003454,NA,NA
ENSG00000198286,CARD11,1.709435335,2.042492819,NA,NA
ENSG00000198301,SDAD1,1.597080597,1.864926192,1.438035772,1.349588321
ENSG00000198356,ASNA1,1.918449742,2.38778834,1.886871271,1.882669658
ENSG00000198363,ASPH,NA,2.260433944,2.145312969,1.909732492
ENSG00000198373,WWP2,1.274342616,1.368844507,1.265407497,NA
ENSG00000198380,GFPT1,1.704227756,2.270371345,NA,1.751587005
ENSG00000198382,UVRAG,1.902473394,2.146552816,NA,1.850615607
ENSG00000198399,ITSN2,1.78084995,1.978315214,1.731161512,1.820421508
ENSG00000198408,MGEA5,1.659963713,1.828592234,NA,1.78200296
ENSG00000198431,TXNRD1,NA,NA,NA,NA
ENSG00000198467,TPM2,2.003546693,NA,2.008414918,NA
ENSG00000198478,SH3BGRL2,NA,NA,2.107111564,NA
ENSG00000198498,TMA16,2.180510087,NA,NA,NA
ENSG00000198513,ATL1,NA,NA,NA,NA
ENSG00000198522,GPN1,1.726193179,2.002882812,NA,1.626109298
ENSG00000198561,CTNND1,1.494446809,NA,1.66807826,1.317697789
ENSG00000198563,DDX39B,2.329279882,3.013249819,1.926931226,2.267932837
ENSG00000198585,NUDT16,1.863075896,NA,NA,1.851777968
ENSG00000198589,LRBA,2.036804494,2.321697828,NA,2.543223451
ENSG00000198604,BAZ1A,1.49785534,NA,1.22016041,1.460085599
ENSG00000198610,AKR1C4,NA,NA,1.935829592,NA
ENSG00000198612,COPS8,NA,2.477213894,NA,NA
ENSG00000198624,CCDC69,NA,1.874736869,NA,NA
ENSG00000198625,MDM4,1.413014612,NA,NA,NA
ENSG00000198626,RYR2,NA,NA,NA,NA
ENSG00000198642,KLHL9,NA,NA,NA,NA
ENSG00000198646,NCOA6,1.851310339,NA,NA,NA
ENSG00000198648,STK39,1.938982293,2.56385411,NA,2.105668546
ENSG00000198650,TAT,NA,NA,1.624828489,NA
ENSG00000198668,CALM1,2.18256158,2.67635976,1.98385848,1.986838888
ENSG00000198677,TTC37,1.991181758,2.312959736,1.752674457,2.03521554
ENSG00000198680,TUSC1,NA,NA,NA,NA
ENSG00000198682,PAPSS2,NA,NA,2.045360147,1.406242033
ENSG00000198689,SLC9A6,NA,NA,NA,NA
ENSG00000198700,IPO9,1.808295392,2.379364447,NA,1.967664958
ENSG00000198707,CEP290,NA,NA,NA,NA
ENSG00000198721,ECI2,2.425376059,NA,2.185600227,NA
ENSG00000198722,UNC13B,NA,NA,1.601288434,NA
ENSG00000198728,LDB1,NA,NA,NA,NA
ENSG00000198729,PPP1R14C,NA,NA,NA,NA
ENSG00000198730,CTR9,1.589474856,1.861749414,1.28186251,1.659973215
ENSG00000198732,SMOC1,NA,NA,1.439790436,NA
ENSG00000198734,F5,1.442808893,2.122523872,1.430091188,NA
ENSG00000198739,LRRTM3,NA,NA,NA,NA
ENSG00000198743,SLC5A3,NA,NA,NA,NA
ENSG00000198752,CDC42BPB,NA,NA,1.72217718,1.821696902
ENSG00000198755,RPL10A,2.027926245,2.680443847,1.964763892,2.086431021
ENSG00000198771,RCSD1,1.909964993,2.138440071,NA,2.006812484
ENSG00000198780,FAM169A,NA,2.749240303,1.751063443,NA
ENSG00000198783,ZNF830,1.685195169,NA,NA,1.51262437
ENSG00000198791,CNOT7,1.794104471,2.15524188,1.860724207,1.986104109
ENSG00000198793,MTOR,1.871596284,2.251173264,1.712384499,1.841659743
ENSG00000198794,SCAMP5,NA,NA,NA,NA
