Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000075856	39.3042	31.4767	32.6493	8.0662	23.7738	18.7996	38.4523	22.8181	62.7813
ENSG00000075884	1.2153	2.361	2.4863	14.4576	1.1702	1.2225	40.9702	59.2641	4.1936
ENSG00000075886	0.1069	0.0958	0.0996	0	0	2.0276	48.5647	51.2545	52.6925
ENSG00000075891	NA	NA	NA	NA	NA	NA	0.5405	0.2796	0.9753
ENSG00000075914	40.1159	34.0466	28.627	11.0363	33.3839	26.3346	54.3199	21.1455	87.212
ENSG00000075945	179.7248	160.2322	230.2883	7.21	1.2544	1.0483	118.6626	74.9183	6.3827
ENSG00000075975	47.0492	41.825	47.8872	8.1269	17.1747	14.254	169.497	223.955	75.1782
ENSG00000076003	15.0421	17.3003	16.6571	6.3233	1.9846	1.6687	34.0253	14.5771	22.9634
ENSG00000076043	19.5454	21.9754	23.3519	25.5082	15.0459	19.9098	108.3236	99.5572	57.0745
ENSG00000076053	8.274	9.2739	8.2728	13.7313	2.5239	1.7061	21.2433	21.6712	1.7218
ENSG00000076067	2.0085	2.0129	2.2397	4.2295	2.438	2.6488	3.6543	4.5565	9.347
ENSG00000076108	17.5901	13.6862	14.6739	7.1667	21.1257	16.2251	65.1138	63.9802	97.2563
ENSG00000076201	20.4658	17.2686	20.4254	6.5789	30.0173	21.8875	19.7583	17.9634	54.659
ENSG00000076242	18.4973	14.3244	21.5997	7.857	10.1784	6.1221	72.9935	57.138	25.7103
ENSG00000076248	17.9386	16.4394	14.4402	9.2698	19.2605	19.4592	20.4273	13.3346	67.9215
ENSG00000076258	1.3798	0.8506	0.6968	12.4969	7.9007	11.1537	3.2911	1.6914	0.7481
ENSG00000076321	19.2821	19.7698	17.2153	6.4418	5.7399	9.3353	36.5174	24.4196	20.33
ENSG00000076344	22.3049	6.3881	15.8909	0.2297	0.7694	1.0334	0	0.2422	2.2927
ENSG00000076351	8.6479	6.1034	7.0741	13.3333	30.7925	29.0962	2.552	2.1723	9.7407
ENSG00000076356	46.2719	30.8159	48.5699	3.0344	6.5597	9.5864	1.1867	1.9188	9.1545
ENSG00000076382	5.5311	5.0139	6.2607	5.398	5.465	3.1331	216.9833	268.5989	64.4557
ENSG00000076513	16.1907	19.8935	17.059	14.7049	12.5221	8.2288	234.4191	303.9389	20.3812
ENSG00000076554	118.2633	189.8031	128.832	48.2349	28.2938	28.4496	21.5463	22.0395	12.5615
ENSG00000076555	7.7826	7.5146	6.6769	46.249	165.6732	144.9654	11.6571	15.5131	16.4843
ENSG00000076604	10.4393	7.6629	4.8027	9.5347	44.9411	37.7712	25.3791	18.4913	55.2771
ENSG00000076641	19.6494	14.6244	16.1568	11.0357	14.0017	21.2096	NA	NA	NA
ENSG00000076650	9.1807	10.7597	9.2101	3.5023	5.0376	4.0139	12.6973	10.9105	10.2117
ENSG00000076662	3.0769	2.851	1.3387	21.7015	72.606	45.1309	3.1317	4.1575	9.6081
ENSG00000076685	30.5758	30.9981	35.9531	15.2048	2.6195	3.3282	59.189	51.1222	14.5227
ENSG00000076706	29.1317	32.602	28.4096	8.9976	8.8555	17.9884	5.4948	2.7735	105.7772
ENSG00000076716	8.3948	10.0107	6.3472	1.6424	1.0715	0.2985	18.7909	9.665	21.9797
ENSG00000076770	1.0237	4.0053	1.6195	73.29	18.1274	21.3447	50.8428	40.8191	58.2897
ENSG00000076826	12.0041	8.1575	11.1914	4.461	51.0983	31.1826	14.5388	11.7624	46.1789
ENSG00000076864	153.2026	81.2572	108.9874	12.109	16.7788	9.8776	4.9859	4.7178	9.8445
ENSG00000076924	25.9328	20.4255	26.6183	7.918	36.8133	37.3414	56.4023	57.2998	136.1319
ENSG00000076928	9.7149	5.1604	5.6115	11.295	55.6946	43.1139	8.2245	5.8219	46.4924
ENSG00000076944	2.11	2.2194	1.3871	11.7605	38.6494	31.2795	59.0189	99.676	63.8779
ENSG00000076984	20.7167	22.487	22.8274	7.5343	32.4875	31.0792	25.5715	23.8435	108.0478
ENSG00000077009	0.5217	0	0.1946	NA	NA	NA	0	0	1.2649
ENSG00000077044	15.5129	11.2063	13.8215	3.4267	9.1061	11.7847	48.7457	52.2835	79.8709
ENSG00000077063	25.3517	15.28	24.3964	2.5217	0.2955	1.6462	1.7926	1.6232	1.3134
ENSG00000077080	46.794	40.2888	45.3273	NA	NA	NA	0.6467	1.1153	0.8752
ENSG00000077092	22.8142	18.1465	27.2251	5.0472	0.7975	3.5178	0.6772	0.3003	2.0199
ENSG00000077097	102.8149	131.0722	130.0493	23.2926	2.1829	3.0578	60.7887	21.6983	6.6055
ENSG00000077147	121.0439	144.3255	121.1386	119.0016	29.3353	21.1352	115.499	41.0434	24.3187
ENSG00000077150	1.8479	1.5609	1.4814	8.3857	21.6624	22.2609	8.5357	4.8453	45.3592
ENSG00000077152	18.7464	14.299	18.3851	2.4151	0	0.2099	43.5698	32.0614	10.7058
ENSG00000077157	50.1353	46.9887	38.4634	2.9321	0.5101	2.6645	10.2002	8.9091	11.0393
ENSG00000077232	44.7142	43.4421	57.0729	26.3945	0.3508	0.3665	96.0317	59.8057	1.4711
ENSG00000077235	47.634	37.1709	45.0834	7.0945	29.5111	24.2304	43.3008	22.4502	94.5508
ENSG00000077238	2.5095	2.5642	0.9975	28.859	35.0373	43.7373	10.2936	9.7177	56.0569
ENSG00000077254	97.2538	99.4436	125.0543	13.3829	0.5907	1.2783	42.1985	21.136	2.7196
ENSG00000077264	106.0956	144.3853	121.1631	NA	NA	NA	9.2602	4.7442	1.3229
ENSG00000077274	NA	NA	NA	0.6459	0.1766	0.0922	2.0524	0.2104	1.6621
ENSG00000077279	18.3232	9.4222	14.2865	NA	NA	NA	NA	NA	NA
ENSG00000077312	14.4804	17.2841	14.5519	9.5506	27.2752	14.9814	31.9131	37.5702	65.5664
ENSG00000077327	5.0193	3.9214	4.2316	NA	NA	NA	317.199	267.8641	49.4242
ENSG00000077348	17.5663	15.0186	16.123	6.4311	26.975	28.7087	18.7512	18.1507	39.5331
ENSG00000077380	47.7086	65.1448	49.7608	14.1787	1.3045	1.0903	50.6679	34.3095	5.5075
ENSG00000077420	6.0502	7.7985	4.9877	25.2795	34.4194	9.4723	0.8161	1.2181	3.9692
ENSG00000077454	8.7389	4.4867	5.8257	6.8391	31.5862	39.4391	62.1529	151.2019	58.302
ENSG00000077458	10.3499	10.1704	11.8522	5.9186	0	2.7306	56.4747	79.1663	0.4747
ENSG00000077463	7.1766	6.3744	8.416	3.2705	11.847	6.8887	7.4443	5.4506	26.8849
ENSG00000077514	7.5869	9.5334	9.9763	4.5856	1.278	0.623	42.6419	49.9116	7.4108
ENSG00000077522	49.794	32.4787	41.9118	NA	NA	NA	5.0556	2.5224	6.9442
ENSG00000077549	100.5598	114.9484	109.9116	76.538	50.4274	57.0961	326.9817	492.3495	142.3866
ENSG00000077585	33.9244	43.9808	24.0062	10.1876	2.5862	7.5858	3.7913	3.3284	4.9749
ENSG00000077616	8.5546	5.2208	12.413	0.296	0	0	33.6179	16.6393	0.8952
ENSG00000077684	20.0426	21.0225	20.0095	5.6107	14.2996	16.878	12.2389	6.3402	26.1888
ENSG00000077713	2.3257	3.2229	2.4967	6.4852	1.6426	0.572	0.9096	0.4706	3.7516
ENSG00000077721	41.1162	34.184	28.5902	22.8292	34.5871	30.4274	24.6987	21.4392	36.6629
ENSG00000077782	25.5411	29.9307	27.3334	5.053	5.4394	21.9931	30.7055	18.4257	123.774
ENSG00000077800	0	0.3325	0	0	0	0	66.5491	57.5329	29.104
ENSG00000077935	0	0.5763	0	NA	NA	NA	90.1317	48.0821	4.4334
ENSG00000077942	15.4407	13.0164	12.7462	7.4623	6.8515	11.297	24.8611	11.8951	391.7599
ENSG00000077943	3.8283	5.3421	4.0549	NA	NA	NA	4.9722	0	2.884
ENSG00000077984	0.4953	0.4441	0	22.215	3.8153	0.8541	0.3406	0.1322	2.7655
ENSG00000078018	749.9751	729.4588	781.4999	3.9203	3.0347	4.4912	15.8016	23.2198	13.3203
ENSG00000078043	45.3764	47.6024	56.55	14.1057	1.1514	0.6683	400.4778	458.2548	6.3388
