Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000155659	4.3246	64.8475	5.3847	58.3191	20.8794	28.2024	11.985	18.5331	74.7188
ENSG00000155660	43.5192	83.0438	35.4375	395.6854	263.6997	124.4264	134.8413	153.5143	194.008
ENSG00000155666	7.0523	7.2011	7.8175	1.8472	4.2852	3.8776	3.2277	2.4741	3.934
ENSG00000155714	0	0.0993	0.1879	NA	NA	NA	6.546	7.5825	0.6222
ENSG00000155719	0	1.3893	0	NA	NA	NA	2.772	1.6113	0.6213
ENSG00000155729	5.8139	7.5211	6.1683	1.8097	3.3841	3.4964	15.4527	14.5656	15.9376
ENSG00000155744	27.3548	19.7134	32.164	1.4394	2.158	3.7526	5.3124	5.2772	3.9521
ENSG00000155749	0.3434	0.1844	1.2221	0.0542	0.0303	0.0249	13.6825	12.4089	0.4607
ENSG00000155754	0.0722	0.3908	0.269	NA	NA	NA	17.4229	23.2099	1.564
ENSG00000155755	30.5748	28.3565	29.4305	1.818	1.0978	1.244	18.194	18.5821	15.4295
ENSG00000155760	1.7683	4.9521	0.7492	0.0254	0.142	1.013	1.4097	1.569	5.3181
ENSG00000155761	NA	NA	NA	NA	NA	NA	21.9636	20.9402	1.5502
ENSG00000155792	25.5081	46.7438	23.5951	8.25	10.4937	12.4265	6.6035	14.5361	27.859
ENSG00000155816	19.8954	17.459	22.3494	NA	NA	NA	2.5781	1.9833	2.4098
ENSG00000155827	43.7685	36.355	40.6437	5.3778	11.8863	11.1468	64.35	48.8647	31.5153
ENSG00000155833	NA	NA	NA	NA	NA	NA	139.684	129.9164	0.7302
ENSG00000155846	3.4044	2.1966	3.8462	0.3291	0.645	0.5138	NA	NA	NA
ENSG00000155849	74.1182	93.4782	107.5448	4.3058	8.6911	10.3275	8.1506	15.2277	20.8992
ENSG00000155850	1.3562	5.7103	1.763	1.3169	0.8252	1.195	17.417	23.3855	21.4515
ENSG00000155858	11.5955	13.2181	13.6716	0.7785	0.3567	0.2925	6.6078	9.9118	6.1096
ENSG00000155868	38.0913	28.7267	38.2385	4.8599	7.2918	6.2658	NA	NA	NA
ENSG00000155875	0.1112	0	0.0259	0	0	0	16.2803	21.7844	0.5365
ENSG00000155876	274.4447	285.3818	296.3292	23.1698	37.362	53.922	105.9981	87.1086	154.1461
