"F0","F0","F0","F0","F4","F4","F4","F4","F4","F4","F4","F4","F4","F13","F13","F13","F13","F17","F17"
1261,98,2249,61,36764,07
964,71,259828,17,243,33
3026,97,590,58,262143,00
528,12,29709,03,1164,99
2106,00,262143,00,526,50
8469,36,262143,00,2117,34
2006,37,113986,02,1153,55
966,33,25524,48,2481,11
1399,68,4128,45,22218,77
1266,03,34165,92,2428,45
13120,38,195435,06,4399,69
6164,10,262143,00,1541,03
6562,62,53596,41,8024,53
797,04,107503,41,485,89
1969,92,262143,00,492,48
720,09,213668,58,220,86
912,87,389,13,153741,98
1157,49,33915,51,2236,65
2199,15,89708,49,1606,57
4010,31,46053,51,5706,81
1743,93,128414,43,890,01
4077,54,262143,00,1019,39
1228,77,3369,06,23902,32
4799,25,119761,26,2626,25
5460,21,166768,98,2145,72
2350,62,51937,38,2966,07
671,49,3332,85,13203,89
812,43,29376,51,1812,44
4128,57,262143,00,1032,14
4105,08,207345,09,1297,50
3184,92,262143,00,796,23
695,79,2053,26,22208,16
1548,72,633,42,160235,75
1568,16,131276,03,782,86
2152,98,45207,93,3121,07
10749,51,246680,88,2855,82
1786,05,87537,93,1337,14
3926,07,179643,42,1432,27
34763,58,18408,96,123758,09
1420,74,123762,21,752,32
988,20,387,60,167085,72
3240,81,262143,00,810,20
2438,10,162805,77,981,43
8948,07,259128,95,2263,04
2080,08,377,40,262143,00
1536,57,172844,09,582,61
758,16,35856,06,1385,72
4178,79,5978,22,45809,65
840,78,31784,73,1733,57
624,51,838,95,48784,47
985,77,1539,18,41972,46
1649,97,78892,92,1370,62
2032,29,194400,78,685,12
8464,50,216522,53,2561,98
1436,94,382,50,246198,55
5153,22,121776,27,2773,28
15694,56,59141,13,17391,53
5388,12,262143,00,1347,03
1200,42,157517,06,499,44
2332,80,262143,00,583,20
2425,14,37372,29,4252,71
4183,65,262143,00,1045,91
1010,88,2199,12,30125,13
6401,43,217523,16,1928,63
2206,44,209568,17,689,99
15416,73,262143,00,3854,18
2320,65,42510,03,3577,64
1350,27,133791,88,661,41
12948,66,160200,17,5297,12
6025,59,6073,08,65023,28
1060,29,1392,30,49908,00
12269,07,51111,18,15731,64
818,91,417,69,128487,34
975,24,2324,07,27500,50
1381,05,73738,35,1227,42
886,14,262143,00,221,54
989,82,50702,16,1279,41
2715,12,171985,77,1034,61
917,73,107344,29,560,29
3325,86,230244,08,946,66
8921,34,262143,00,2230,33
2900,61,262143,00,725,15
22296,87,262143,00,5574,22
3073,95,262143,00,768,49
2162,70,211908,06,668,85
1078,92,91127,30,775,92
2084,13,5395,80,25313,21
